Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO",Refugees
2024,-,"Saudi Arabia",-,SAU,2332
2024,-,Senegal,-,SEN,12947
2024,-,Seychelles,-,SYC,10
2024,-,Singapore,-,SGP,45
2024,-,"Sierra Leone",-,SLE,8042
2024,-,"Solomon Islands",-,SLB,44
2024,-,Somalia,-,SOM,894120
2024,-,Spain,-,ESP,174
2024,-,"Serbia and Kosovo: S/RES/1244 (1999)",-,SRB,31438
2024,-,"Viet Nam",-,VNM,19961
2024,-,"South Sudan",-,SSD,2290622
2024,-,Stateless,-,XXA,36296
2024,-,"Saint Kitts and Nevis",-,KNA,27
2024,-,"Sao Tome and Principe",-,STP,5
2024,-,Sudan,-,SDN,2094373
2024,-,Suriname,-,SUR,50
2024,-,Slovakia,-,SVK,664
2024,-,Slovenia,-,SVN,17
2024,-,Eswatini,-,SWZ,150
2024,-,Sweden,-,SWE,98
2024,-,Switzerland,-,CHE,5
2024,-,"Syrian Arab Rep.",-,SYR,5952174
2024,-,"United Rep. of Tanzania",-,TZA,1259
2024,-,"Turks and Caicos Islands",-,TCA,14
2024,-,Thailand,-,THA,300
2024,-,Tibetan,-,TIB,12576
2024,-,Tajikistan,-,TJK,4045
2024,-,Turkmenistan,-,TKM,2580
2024,-,Timor-Leste,-,TLS,5
2024,-,Togo,-,TGO,12685
2024,-,Tonga,-,TON,42
2024,-,"Trinidad and Tobago",-,TTO,474
2024,-,Tunisia,-,TUN,3593
2024,-,Türkiye,-,TUR,139640
2024,-,Tuvalu,-,TUV,0
2024,-,"United Arab Emirates",-,ARE,261
2024,-,Uganda,-,UGA,10384
2024,-,"Unknown ",-,UNK,191689
2024,-,Ukraine,-,UKR,5120036
2024,-,Uruguay,-,URY,131
2024,-,"United States of America",-,USA,4004
2024,-,Uzbekistan,-,UZB,5152
2024,-,Vanuatu,-,VUT,5
2024,-,"Saint Vincent and the Grenadines",-,VCT,186
2024,-,"Venezuela (Bolivarian Republic of)",-,VEN,370169
2024,-,Samoa,-,WSM,8
2024,-,"Western Sahara",-,ESH,174578
2024,-,Yemen,-,YEM,51384
2024,-,Zambia,-,ZMB,337
2024,-,Zimbabwe,-,ZWE,8002
